Date_UT,RA,DEC,APmag,S_brt,Delta,Deldot,Alpha,SunLon,UTC_Time,x,y,z,vx,vy,vz,pos_mag,speed,radial_speed,delta_km,deldot,time,hour,dayofyear,collision_pred,collision_proba
2006-01-01,02 32 15.02 +16 35 29.9,-0.597,4.456,0.77519869764264,14.7500341,120.6420 /T,33.5358,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7500341,0.0,,0,0,0,0.0
2006-01-02,02 33 13.14 +16 40 57.7,-0.571,4.457,0.78375024572645,14.8614541,119.8715 /T,33.8025,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8614541,0.0,,0,0,0,0.0
2006-01-03,02 34 13.47 +16 46 32.6,-0.55,4.453,0.79236500521378,14.9689214,119.1098 /T,34.0595,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9689214,0.0,,0,0,0,0.0
2006-01-04,02 35 15.96 +16 52 14.5,-0.523,4.454,0.80104071550073,15.0725261,118.3569 /T,34.307,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0725261,0.0,,0,0,0,0.0
2006-01-05,02 36 20.56 +16 58 02.8,-0.487,4.465,0.80977518809526,15.1724248,117.6126 /T,34.5451,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1724248,0.0,,0,0,0,0.0
2006-01-06,02 37 27.23 +17 03 57.5,-0.44,4.488,0.81856633892153,15.2688184,116.8766 /T,34.7742,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2688184,0.0,,0,0,0,0.0
2006-01-07,02 38 35.91 +17 09 58.0,-0.422,4.481,0.82741220692898,15.3619283,116.1487 /T,34.9944,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3619283,0.0,,0,0,0,0.0
2006-01-08,02 39 46.57 +17 16 04.2,-0.405,4.474,0.8363109598738,15.4519763,115.4287 /T,35.206,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4519763,0.0,,0,0,0,0.0
2006-01-09,02 40 59.14 +17 22 15.6,-0.371,4.484,0.84526089082616,15.539173,114.7164 /T,35.4092,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.539173,0.0,,0,0,0,0.0
2006-01-10,02 42 13.60 +17 28 32.0,-0.328,4.502,0.854260409256,15.6237103,114.0116 /T,35.6041,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6237103,0.0,,0,0,0,0.0
2006-01-11,02 43 29.89 +17 34 53.2,-0.313,4.494,0.86330802951239,15.7057591,113.3142 /T,35.7911,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.7057591,0.0,,0,0,0,0.0
2006-01-12,02 44 47.97 +17 41 18.7,-0.303,4.479,0.87240235823975,15.785468,112.6238 /T,35.9702,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.785468,0.0,,0,0,0,0.0
2006-01-13,02 46 07.80 +17 47 48.3,-0.279,4.48,0.88154208138094,15.862963,111.9404 /T,36.1417,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.862963,0.0,,0,0,0,0.0
2006-01-14,02 47 29.34 +17 54 21.7,-0.266,4.47,0.89072595104293,15.9383472,111.2637 /T,36.3058,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9383472,0.0,,0,0,0,0.0
2006-01-15,02 48 52.56 +18 00 58.7,-0.244,4.468,0.89995277250819,16.0117018,110.5935 /T,36.4627,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0117018,0.0,,0,0,0,0.0
2006-01-16,02 50 17.42 +18 07 39.0,-0.225,4.463,0.90922139183063,16.083087,109.9297 /T,36.6124,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.083087,0.0,,0,0,0,0.02
2006-01-17,02 51 43.88 +18 14 22.3,-0.228,4.437,0.91853068454968,16.1525452,109.2722 /T,36.7553,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1525452,0.0,,0,0,0,0.26
2006-01-18,02 53 11.91 +18 21 08.4,-0.198,4.445,0.92787954597364,16.2201032,108.6207 /T,36.8914,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2201032,0.0,,0,0,1,0.65
2006-01-19,02 54 41.49 +18 27 57.0,-0.176,4.444,0.93726688321527,16.2857753,107.9751 /T,37.0209,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2857753,0.0,,0,0,1,0.65
2006-01-20,02 56 12.58 +18 34 48.0,-0.161,4.437,0.94669160877907,16.3495662,107.3353 /T,37.1439,Ari,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3495662,0.0,,0,0,0,0.27
